name1,name2,docs1,docs2,code1,code2,docs_score,code_score
cycle_index_sym_helper,hamilton_cycle,"cycle_index_sym_helper of the cycle index.

The recurrence is given in:
https://en.wikipedia.org/wiki/Cycle_index#Symmetric_group_Sn","hamilton_cycle which will either return array of vertices indicating hamiltonian cycle
or an empty list indicating that hamiltonian cycle was not found.
Case 1:
Following graph consists of 5 edges.
If we look closely, we can see that there are multiple Hamiltonian cycles.
For example one result is when we iterate like:
(0)->(1)->(2)->(4)->(3)->(0)

(0)---(1)---(2)
 |   /   \   |
 |  /     \  |
 | /       \ |
 |/         \|
(3)---------(4)
>>> graph = [[0, 1, 0, 1, 0],
...          [1, 0, 1, 1, 1],
...          [0, 1, 0, 0, 1],
...          [1, 1, 0, 0, 1],
...          [0, 1, 1, 1, 0]]
>>> hamilton_cycle(graph)
[0, 1, 2, 4, 3, 0]

Case 2:
Same Graph as it was in Case 1, changed starting index from default to 3

(0)---(1)---(2)
 |   /   \   |
 |  /     \  |
 | /       \ |
 |/         \|
(3)---------(4)
>>> graph = [[0, 1, 0, 1, 0],
...          [1, 0, 1, 1, 1],
...          [0, 1, 0, 0, 1],
...          [1, 1, 0, 0, 1],
...          [0, 1, 1, 1, 0]]
>>> hamilton_cycle(graph, 3)
[3, 0, 1, 2, 4, 3]

Case 3:
Following Graph is exactly what it was before, but edge 3-4 is removed.
Result is that there is no Hamiltonian Cycle anymore.

(0)---(1)---(2)
 |   /   \   |
 |  /     \  |
 | /       \ |
 |/         \|
(3)         (4)
>>> graph = [[0, 1, 0, 1, 0],
...          [1, 0, 1, 1, 1],
...          [0, 1, 0, 0, 1],
...          [1, 1, 0, 0, 0],
...          [0, 1, 1, 0, 0]]
>>> hamilton_cycle(graph,4)
[]","def cycle_index_sym_helper(n: int, memo: Dict[int, Polynomial]) -> Polynomial:
    """"""
    A helper for the dp-style evaluation
    of the cycle index.

    The recurrence is given in:
    https://en.wikipedia.org/wiki/Cycle_index#Symmetric_group_Sn

    """"""
    if n in memo:
        return memo[n]
    ans = Polynomial([Monomial({}, Fraction(0, 1))])
    for t in range(1, n + 1):
        ans = ans.__add__(Polynomial([Monomial({t: 1}, Fraction(1, 1))]) * cycle_index_sym_helper(n - t, memo))
    ans *= Fraction(1, n)
    memo[n] = ans
    return memo[n]","def hamilton_cycle(graph: list[list[int]], start_index: int=0) -> list[int]:
    """"""
    Wrapper function to call subroutine called util_hamilton_cycle,
    which will either return array of vertices indicating hamiltonian cycle
    or an empty list indicating that hamiltonian cycle was not found.
    Case 1:
    Following graph consists of 5 edges.
    If we look closely, we can see that there are multiple Hamiltonian cycles.
    For example one result is when we iterate like:
    (0)->(1)->(2)->(4)->(3)->(0)

    (0)---(1)---(2)
     |   /   \\   |
     |  /     \\  |
     | /       \\ |
     |/         \\|
    (3)---------(4)
    >>> graph = [[0, 1, 0, 1, 0],
    ...          [1, 0, 1, 1, 1],
    ...          [0, 1, 0, 0, 1],
    ...          [1, 1, 0, 0, 1],
    ...          [0, 1, 1, 1, 0]]
    >>> hamilton_cycle(graph)
    [0, 1, 2, 4, 3, 0]

    Case 2:
    Same Graph as it was in Case 1, changed starting index from default to 3

    (0)---(1)---(2)
     |   /   \\   |
     |  /     \\  |
     | /       \\ |
     |/         \\|
    (3)---------(4)
    >>> graph = [[0, 1, 0, 1, 0],
    ...          [1, 0, 1, 1, 1],
    ...          [0, 1, 0, 0, 1],
    ...          [1, 1, 0, 0, 1],
    ...          [0, 1, 1, 1, 0]]
    >>> hamilton_cycle(graph, 3)
    [3, 0, 1, 2, 4, 3]

    Case 3:
    Following Graph is exactly what it was before, but edge 3-4 is removed.
    Result is that there is no Hamiltonian Cycle anymore.

    (0)---(1)---(2)
     |   /   \\   |
     |  /     \\  |
     | /       \\ |
     |/         \\|
    (3)         (4)
    >>> graph = [[0, 1, 0, 1, 0],
    ...          [1, 0, 1, 1, 1],
    ...          [0, 1, 0, 0, 1],
    ...          [1, 1, 0, 0, 0],
    ...          [0, 1, 1, 0, 0]]
    >>> hamilton_cycle(graph,4)
    []
    """"""
    path = [-1] * (len(graph) + 1)
    path[0] = path[-1] = start_index
    return path if util_hamilton_cycle(graph, path, 1) else []",0.59339106,0.9434885
get_cycle_index_sym,generate_parameters,"get_cycle_index_sym of S_n, i.e. the symmetry
group of n symbols.","generate_parameters A symbol is the uncomplemented form of a literal.
For example,
    Symbol of A3 is A3.
    Symbol of A5' is A5.

>>> formula = Formula([Clause([""A1"", ""A2'"", ""A3""]), Clause([""A5'"", ""A2'"", ""A1""])])
>>> clauses, symbols = generate_parameters(formula)
>>> clauses_list = [str(i) for i in clauses]
>>> clauses_list
[""{A1 , A2' , A3}"", ""{A5' , A2' , A1}""]
>>> symbols
['A1', 'A2', 'A3', 'A5']","def get_cycle_index_sym(n: int) -> Polynomial:
    """"""
    Compute the cycle index
    of S_n, i.e. the symmetry
    group of n symbols.

    """"""
    if n < 0:
        raise ValueError('n should be a non-negative integer.')
    memo = {0: Polynomial([Monomial({}, Fraction(1, 1))]), 1: Polynomial([Monomial({1: 1}, Fraction(1, 1))]), 2: Polynomial([Monomial({1: 2}, Fraction(1, 2)), Monomial({2: 1}, Fraction(1, 2))]), 3: Polynomial([Monomial({1: 3}, Fraction(1, 6)), Monomial({1: 1, 2: 1}, Fraction(1, 2)), Monomial({3: 1}, Fraction(1, 3))]), 4: Polynomial([Monomial({1: 4}, Fraction(1, 24)), Monomial({2: 1, 1: 2}, Fraction(1, 4)), Monomial({3: 1, 1: 1}, Fraction(1, 3)), Monomial({2: 2}, Fraction(1, 8)), Monomial({4: 1}, Fraction(1, 4))])}
    result = cycle_index_sym_helper(n, memo)
    return result","def generate_parameters(formula: Formula) -> tuple[list[Clause], list[str]]:
    """"""
    Return the clauses and symbols from a formula.
    A symbol is the uncomplemented form of a literal.
    For example,
        Symbol of A3 is A3.
        Symbol of A5' is A5.

    >>> formula = Formula([Clause([""A1"", ""A2'"", ""A3""]), Clause([""A5'"", ""A2'"", ""A1""])])
    >>> clauses, symbols = generate_parameters(formula)
    >>> clauses_list = [str(i) for i in clauses]
    >>> clauses_list
    [""{A1 , A2' , A3}"", ""{A5' , A2' , A1}""]
    >>> symbols
    ['A1', 'A2', 'A3', 'A5']
    """"""
    clauses = formula.clauses
    symbols_set = []
    for clause in formula.clauses:
        for literal in clause.literals:
            symbol = literal[:2]
            if symbol not in symbols_set:
                symbols_set.append(symbol)
    return (clauses, symbols_set)",0.48985037,0.82982147
alice_private_key,decrypt,"alice_private_key in the range of 1 ~ p-1.
This must be kept in secret","decrypt Decryption using Key #0: TMDETUX PMDVU
Decryption using Key #1: SLCDSTW OLCUT
Decryption using Key #2: RKBCRSV NKBTS
Decryption using Key #3: QJABQRU MJASR
Decryption using Key #4: PIZAPQT LIZRQ
Decryption using Key #5: OHYZOPS KHYQP
Decryption using Key #6: NGXYNOR JGXPO
Decryption using Key #7: MFWXMNQ IFWON
Decryption using Key #8: LEVWLMP HEVNM
Decryption using Key #9: KDUVKLO GDUML
Decryption using Key #10: JCTUJKN FCTLK
Decryption using Key #11: IBSTIJM EBSKJ
Decryption using Key #12: HARSHIL DARJI
Decryption using Key #13: GZQRGHK CZQIH
Decryption using Key #14: FYPQFGJ BYPHG
Decryption using Key #15: EXOPEFI AXOGF
Decryption using Key #16: DWNODEH ZWNFE
Decryption using Key #17: CVMNCDG YVMED
Decryption using Key #18: BULMBCF XULDC
Decryption using Key #19: ATKLABE WTKCB
Decryption using Key #20: ZSJKZAD VSJBA
Decryption using Key #21: YRIJYZC URIAZ
Decryption using Key #22: XQHIXYB TQHZY
Decryption using Key #23: WPGHWXA SPGYX
Decryption using Key #24: VOFGVWZ ROFXW
Decryption using Key #25: UNEFUVY QNEWV","def alice_private_key(p):
    """"""Alice determine her private key
    in the range of 1 ~ p-1.
    This must be kept in secret""""""
    return randint(1, p - 1)","def decrypt(message: str) -> None:
    """"""
    >>> decrypt('TMDETUX PMDVU')
    Decryption using Key #0: TMDETUX PMDVU
    Decryption using Key #1: SLCDSTW OLCUT
    Decryption using Key #2: RKBCRSV NKBTS
    Decryption using Key #3: QJABQRU MJASR
    Decryption using Key #4: PIZAPQT LIZRQ
    Decryption using Key #5: OHYZOPS KHYQP
    Decryption using Key #6: NGXYNOR JGXPO
    Decryption using Key #7: MFWXMNQ IFWON
    Decryption using Key #8: LEVWLMP HEVNM
    Decryption using Key #9: KDUVKLO GDUML
    Decryption using Key #10: JCTUJKN FCTLK
    Decryption using Key #11: IBSTIJM EBSKJ
    Decryption using Key #12: HARSHIL DARJI
    Decryption using Key #13: GZQRGHK CZQIH
    Decryption using Key #14: FYPQFGJ BYPHG
    Decryption using Key #15: EXOPEFI AXOGF
    Decryption using Key #16: DWNODEH ZWNFE
    Decryption using Key #17: CVMNCDG YVMED
    Decryption using Key #18: BULMBCF XULDC
    Decryption using Key #19: ATKLABE WTKCB
    Decryption using Key #20: ZSJKZAD VSJBA
    Decryption using Key #21: YRIJYZC URIAZ
    Decryption using Key #22: XQHIXYB TQHZY
    Decryption using Key #23: WPGHWXA SPGYX
    Decryption using Key #24: VOFGVWZ ROFXW
    Decryption using Key #25: UNEFUVY QNEWV
    """"""
    for key in range(len(string.ascii_uppercase)):
        translated = ''
        for symbol in message:
            if symbol in string.ascii_uppercase:
                num = string.ascii_uppercase.find(symbol)
                num = num - key
                if num < 0:
                    num = num + len(string.ascii_uppercase)
                translated = translated + string.ascii_uppercase[num]
            else:
                translated = translated + symbol
        print(f'Decryption using Key #{key}: {translated}')",0.48719823,0.93128866
alice_public_key,try_key,"alice_public_key with her private key.
This is open to public","try_key If the decrypted message contains a invalid character, i.e. not an ASCII letter,
a digit, punctuation or whitespace, then we know the key is incorrect, so return
None.
>>> try_key([0, 17, 20, 4, 27], (104, 116, 120))
'hello'
>>> try_key([68, 10, 300, 4, 27], (104, 116, 120)) is None
True","def alice_public_key(a_pr_k, a, p):
    """"""Alice calculate her public key
    with her private key.
    This is open to public""""""
    return pow(a, a_pr_k) % p","def try_key(ciphertext: list[int], key: tuple[int, ...]) -> str | None:
    """"""
    Given an encrypted message and a possible 3-character key, decrypt the message.
    If the decrypted message contains a invalid character, i.e. not an ASCII letter,
    a digit, punctuation or whitespace, then we know the key is incorrect, so return
    None.
    >>> try_key([0, 17, 20, 4, 27], (104, 116, 120))
    'hello'
    >>> try_key([68, 10, 300, 4, 27], (104, 116, 120)) is None
    True
    """"""
    decoded: str = ''
    keychar: int
    cipherchar: int
    decodedchar: int
    for (keychar, cipherchar) in zip(cycle(key), ciphertext):
        decodedchar = cipherchar ^ keychar
        if decodedchar not in VALID_INTS:
            return None
        decoded += chr(decodedchar)
    return decoded",0.4232089,0.0030486984
bob_private_key,cipher_text,"bob_private_key in the range of 1 ~ p-1.
This must be kept in secret",cipher_text 'BDC PAYUWL JPAIYI',"def bob_private_key(p):
    """"""Bob determine his private key
    in the range of 1 ~ p-1.
    This must be kept in secret""""""
    return randint(1, p - 1)","def cipher_text(message: str, key_new: str) -> str:
    """"""
    >>> cipher_text(""THE GERMAN ATTACK"",""SECRETSECRETSECRE"")
    'BDC PAYUWL JPAIYI'
    """"""
    cipher_text = ''
    i = 0
    for letter in message:
        if letter == ' ':
            cipher_text += ' '
        else:
            x = (dict1[letter] - dict1[key_new[i]]) % 26
            i += 1
            cipher_text += dict2[x]
    return cipher_text",0.47378993,8.2221726e-05
bob_public_key,create_cipher_map,"bob_public_key with his private key.
This is open to public",create_cipher_map Returns a cipher map given a keyword.,"def bob_public_key(b_pr_k, a, p):
    """"""Bob calculate his public key
    with his private key.
    This is open to public""""""
    return pow(a, b_pr_k) % p","def create_cipher_map(key: str) -> dict[str, str]:
    """"""
    Returns a cipher map given a keyword.
    :param key: keyword to use
    :return: dictionary cipher map
    """"""
    alphabet = [chr(i + 65) for i in range(26)]
    key = remove_duplicates(key.upper())
    offset = len(key)
    cipher_alphabet = {alphabet[i]: char for (i, char) in enumerate(key)}
    for i in range(len(cipher_alphabet), 26):
        char = alphabet[i - offset]
        while char in key:
            offset -= 1
            char = alphabet[i - offset]
        cipher_alphabet[alphabet[i]] = char
    return cipher_alphabet",0.4294472,0.0011158505
alice_shared_key,dencrypt,"alice_shared_key with her private key and Bob's public key.
This must be kept in secret","dencrypt >>> msg = ""My secret bank account number is 173-52946 so don't tell anyone!!""
>>> s = dencrypt(msg)
>>> s
""Zl frperg onax nppbhag ahzore vf 173-52946 fb qba'g gryy nalbar!!""
>>> dencrypt(s) == msg
True","def alice_shared_key(b_pu_k, a_pr_k, p):
    """""" Alice calculate secret key shared with Bob,
    with her private key and Bob's public key.
    This must be kept in secret""""""
    return pow(b_pu_k, a_pr_k) % p","def dencrypt(s: str, n: int=13) -> str:
    """"""
    https://en.wikipedia.org/wiki/ROT13

    >>> msg = ""My secret bank account number is 173-52946 so don't tell anyone!!""
    >>> s = dencrypt(msg)
    >>> s
    ""Zl frperg onax nppbhag ahzore vf 173-52946 fb qba'g gryy nalbar!!""
    >>> dencrypt(s) == msg
    True
    """"""
    out = ''
    for c in s:
        if 'A' <= c <= 'Z':
            out += chr(ord('A') + (ord(c) - ord('A') + n) % 26)
        elif 'a' <= c <= 'z':
            out += chr(ord('a') + (ord(c) - ord('a') + n) % 26)
        else:
            out += c
    return out",0.40887195,0.0006100789
bob_shared_key,rsafactor,"bob_shared_key with his private key and Alice's public key.
This must be kept in secret","rsafactor Return: [p, q]

We call N the RSA modulus, e the encryption exponent, and d the decryption exponent.
The pair (N, e) is the public key. As its name suggests, it is public and is used to
    encrypt messages.
The pair (N, d) is the secret key or private key and is known only to the recipient
    of encrypted messages.

>>> rsafactor(3, 16971, 25777)
[149, 173]
>>> rsafactor(7331, 11, 27233)
[113, 241]
>>> rsafactor(4021, 13, 17711)
[89, 199]","def bob_shared_key(a_pu_k, b_pr_k, p):
    """""" Bob calculate secret key shared with Alice,
    with his private key and Alice's public key.
    This must be kept in secret""""""
    return pow(a_pu_k, b_pr_k) % p","def rsafactor(d: int, e: int, n: int) -> list[int]:
    """"""
    This function returns the factors of N, where p*q=N
      Return: [p, q]

    We call N the RSA modulus, e the encryption exponent, and d the decryption exponent.
    The pair (N, e) is the public key. As its name suggests, it is public and is used to
        encrypt messages.
    The pair (N, d) is the secret key or private key and is known only to the recipient
        of encrypted messages.

    >>> rsafactor(3, 16971, 25777)
    [149, 173]
    >>> rsafactor(7331, 11, 27233)
    [113, 241]
    >>> rsafactor(4021, 13, 17711)
    [89, 199]
    """"""
    k = d * e - 1
    p = 0
    q = 0
    while p == 0:
        g = random.randint(2, n - 1)
        t = k
        while True:
            if t % 2 == 0:
                t = t // 2
                x = g ** t % n
                y = math.gcd(x - 1, n)
                if x > 1 and y > 1:
                    p = y
                    q = n // y
                    break
            else:
                break
    return sorted([p, q])",0.48605675,0.47413886
diffie_hellman_key_exchange,enigma,diffie_hellman_key_exchange Perform diffie-helmman key exchange. ,"enigma All characters are converted to uppercase. (non-letter symbol are ignored)
How it works:
(for every letter in the message)

- Input letter goes into the plugboard.
If it is connected to another one, switch it.

- Letter goes through 3 rotors.
Each rotor can be represented as 2 sets of symbol, where one is shuffled.
Each symbol from the first set has corresponding symbol in
the second set and vice versa.

example:
| ABCDEFGHIJKLMNOPQRSTUVWXYZ | e.g. F=D and D=F
| VKLEPDBGRNWTFCJOHQAMUZYIXS |

- Symbol then goes through reflector (static rotor).
There it is switched with paired symbol
The reflector can be represented as2 sets, each with half of the alphanet.
There are usually 10 pairs of letters.

Example:
| ABCDEFGHIJKLM | e.g. E is paired to X
| ZYXWVUTSRQPON | so when E goes in X goes out and vice versa

- Letter then goes through the rotors again

- If the letter is connected to plugboard, it is switched.

- Return the letter

>>> enigma('Hello World!', (1, 2, 1), plugb='pictures')
'KORYH JUHHI!'
>>> enigma('KORYH, juhhi!', (1, 2, 1), plugb='pictures')
'HELLO, WORLD!'
>>> enigma('hello world!', (1, 1, 1), plugb='pictures')
'FPNCZ QWOBU!'
>>> enigma('FPNCZ QWOBU', (1, 1, 1), plugb='pictures')
'HELLO WORLD'","def diffie_hellman_key_exchange(a, p, option=None):
    """""" Perform diffie-helmman key exchange. """"""
    if option is not None:
        option = 1
    if prime_check(p) is False:
        print(f'{p} is not a prime number')
        return False
    try:
        p_root_list = find_primitive_root(p)
        p_root_list.index(a)
    except ValueError:
        print(f'{a} is not a primitive root of {p}')
        return False
    a_pr_k = alice_private_key(p)
    a_pu_k = alice_public_key(a_pr_k, a, p)
    b_pr_k = bob_private_key(p)
    b_pu_k = bob_public_key(b_pr_k, a, p)
    if option == 1:
        print(f""Alice's private key: {a_pr_k}"")
        print(f""Alice's public key: {a_pu_k}"")
        print(f""Bob's private key: {b_pr_k}"")
        print(f""Bob's public key: {b_pu_k}"")
    a_sh_k = alice_shared_key(b_pu_k, a_pr_k, p)
    b_sh_k = bob_shared_key(a_pu_k, b_pr_k, p)
    print(f'Shared key calculated by Alice = {a_sh_k}')
    print(f'Shared key calculated by Bob = {b_sh_k}')
    return a_sh_k == b_sh_k","def enigma(text: str, rotor_position: RotorPositionT, rotor_selection: RotorSelectionT=(rotor1, rotor2, rotor3), plugb: str='') -> str:
    """"""
    The only difference with real-world enigma is that I allowed string input.
    All characters are converted to uppercase. (non-letter symbol are ignored)
    How it works:
    (for every letter in the message)

    - Input letter goes into the plugboard.
    If it is connected to another one, switch it.

    - Letter goes through 3 rotors.
    Each rotor can be represented as 2 sets of symbol, where one is shuffled.
    Each symbol from the first set has corresponding symbol in
    the second set and vice versa.

    example:
    | ABCDEFGHIJKLMNOPQRSTUVWXYZ | e.g. F=D and D=F
    | VKLEPDBGRNWTFCJOHQAMUZYIXS |

    - Symbol then goes through reflector (static rotor).
    There it is switched with paired symbol
    The reflector can be represented as2 sets, each with half of the alphanet.
    There are usually 10 pairs of letters.

    Example:
    | ABCDEFGHIJKLM | e.g. E is paired to X
    | ZYXWVUTSRQPON | so when E goes in X goes out and vice versa

    - Letter then goes through the rotors again

    - If the letter is connected to plugboard, it is switched.

    - Return the letter

    >>> enigma('Hello World!', (1, 2, 1), plugb='pictures')
    'KORYH JUHHI!'
    >>> enigma('KORYH, juhhi!', (1, 2, 1), plugb='pictures')
    'HELLO, WORLD!'
    >>> enigma('hello world!', (1, 1, 1), plugb='pictures')
    'FPNCZ QWOBU!'
    >>> enigma('FPNCZ QWOBU', (1, 1, 1), plugb='pictures')
    'HELLO WORLD'


    :param text: input message
    :param rotor_position: tuple with 3 values in range 1..26
    :param rotor_selection: tuple with 3 rotors ()
    :param plugb: string containing plugboard configuration (default '')
    :return: en/decrypted string
    """"""
    text = text.upper()
    (rotor_position, rotor_selection, plugboard) = _validator(rotor_position, rotor_selection, plugb.upper())
    (rotorpos1, rotorpos2, rotorpos3) = rotor_position
    (rotor1, rotor2, rotor3) = rotor_selection
    rotorpos1 -= 1
    rotorpos2 -= 1
    rotorpos3 -= 1
    result = []
    for symbol in text:
        if symbol in abc:
            if symbol in plugboard:
                symbol = plugboard[symbol]
            index = abc.index(symbol) + rotorpos1
            symbol = rotor1[index % len(abc)]
            index = abc.index(symbol) + rotorpos2
            symbol = rotor2[index % len(abc)]
            index = abc.index(symbol) + rotorpos3
            symbol = rotor3[index % len(abc)]
            symbol = reflector[symbol]
            symbol = abc[rotor3.index(symbol) - rotorpos3]
            symbol = abc[rotor2.index(symbol) - rotorpos2]
            symbol = abc[rotor1.index(symbol) - rotorpos1]
            if symbol in plugboard:
                symbol = plugboard[symbol]
            rotorpos1 += 1
            if rotorpos1 >= len(abc):
                rotorpos1 = 0
                rotorpos2 += 1
            if rotorpos2 >= len(abc):
                rotorpos2 = 0
                rotorpos3 += 1
            if rotorpos3 >= len(abc):
                rotorpos3 = 0
        result.append(symbol)
    return ''.join(result)",0.44508514,0.9717675
hailstone,peak,hailstone n: The starting point of the hailstone sequence,"peak >>> peak([1, 2, 3, 4, 5, 4, 3, 2, 1])
5
>>> peak([1, 10, 9, 8, 7, 6, 5, 4])
10
>>> peak([1, 9, 8, 7])
9
>>> peak([1, 2, 3, 4, 5, 6, 7, 0])
7
>>> peak([1, 2, 3, 4, 3, 2, 1, 0, -1, -2])
4","def hailstone(n):
    """"""
    Return the 'hailstone sequence' from n to 1
    n: The starting point of the hailstone sequence
    """"""
    sequence = [n]
    while n > 1:
        if n % 2 != 0:
            n = 3 * n + 1
        else:
            n = int(n / 2)
        sequence.append(n)
    return sequence","def peak(lst: list[int]) -> int:
    """"""
    Return the peak value of `lst`.
    >>> peak([1, 2, 3, 4, 5, 4, 3, 2, 1])
    5
    >>> peak([1, 10, 9, 8, 7, 6, 5, 4])
    10
    >>> peak([1, 9, 8, 7])
    9
    >>> peak([1, 2, 3, 4, 5, 6, 7, 0])
    7
    >>> peak([1, 2, 3, 4, 3, 2, 1, 0, -1, -2])
    4
    """"""
    m = len(lst) // 2
    three = lst[m - 1:m + 2]
    if three[1] > three[0] and three[1] > three[2]:
        return three[1]
    elif three[0] < three[2]:
        if len(lst[:m]) == 2:
            m -= 1
        return peak(lst[m:])
    else:
        if len(lst[:m]) == 2:
            m += 1
        return peak(lst[:m])",0.41847324,0.98689866
square_root,mean_absolute_error,"square_root Return square root of n, with maximum absolute error epsilon",mean_absolute_error Return sum of square error for error calculation,"def square_root(n, epsilon=0.001):
    """"""Return square root of n, with maximum absolute error epsilon""""""
    guess = n / 2
    while abs(guess * guess - n) > epsilon:
        guess = (guess + n / guess) / 2
    return guess","def mean_absolute_error(predicted_y, original_y):
    """"""Return sum of square error for error calculation
    :param predicted_y   : contains the output of prediction (result vector)
    :param original_y    : contains values of expected outcome
    :return          : mean absolute error computed from given feature's
    """"""
    total = sum((abs(y - predicted_y[i]) for (i, y) in enumerate(original_y)))
    return total / len(original_y)",0.68318397,0.98430705
combination,rayleigh_quotient,combination This function calculates nCr.,"rayleigh_quotient vector v.
>>> import numpy as np
>>> A = np.array([
... [1,  2, 4],
... [2,  3,  -1],
... [4, -1,  1]
... ])
>>> v = np.array([
... [1],
... [2],
... [3]
... ])
>>> rayleigh_quotient(A, v)
array([[3.]])","def combination(n, r):
    """"""This function calculates nCr.""""""
    if n == r or r == 0:
        return 1
    return combination(n - 1, r - 1) + combination(n - 1, r)","def rayleigh_quotient(a: np.ndarray, v: np.ndarray) -> Any:
    """"""
    Returns the Rayleigh quotient of a Hermitian matrix A and
    vector v.
    >>> import numpy as np
    >>> A = np.array([
    ... [1,  2, 4],
    ... [2,  3,  -1],
    ... [4, -1,  1]
    ... ])
    >>> v = np.array([
    ... [1],
    ... [2],
    ... [3]
    ... ])
    >>> rayleigh_quotient(A, v)
    array([[3.]])
    """"""
    v_star = v.conjugate().T
    v_star_dot = v_star.dot(a)
    assert isinstance(v_star_dot, np.ndarray)
    return v_star_dot.dot(v) / v_star.dot(v)",0.5657388,0.0011764523
combination_memo,sum_of_digits_compact,combination_memo This function calculates nCr using memoization method.,"sum_of_digits_compact >>> sum_of_digits_compact(12345)
15
>>> sum_of_digits_compact(123)
6
>>> sum_of_digits_compact(-123)
6
>>> sum_of_digits_compact(0)
0","def combination_memo(n, r):
    """"""This function calculates nCr using memoization method.""""""
    memo = {}

    def recur(n, r):
        if n == r or r == 0:
            return 1
        if (n, r) not in memo:
            memo[n, r] = recur(n - 1, r - 1) + recur(n - 1, r)
        return memo[n, r]
    return recur(n, r)","def sum_of_digits_compact(n: int) -> int:
    """"""
    Find the sum of digits of a number
    >>> sum_of_digits_compact(12345)
    15
    >>> sum_of_digits_compact(123)
    6
    >>> sum_of_digits_compact(-123)
    6
    >>> sum_of_digits_compact(0)
    0
    """"""
    return sum((int(c) for c in str(abs(n))))",0.5244236,0.00064357737
find_factorial,factorial,find_factorial Calculates the factorial of a given number n ,"factorial 5040
>>> factorial(-1)
Traceback (most recent call last):
  ...
ValueError: Number should not be negative.
>>> [factorial(i) for i in range(10)]
[1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880]","def find_factorial(n):
    """""" Calculates the factorial of a given number n """"""
    fact = 1
    while n != 0:
        fact *= n
        n -= 1
    return fact","@lru_cache
def factorial(num: int) -> int:
    """"""
    >>> factorial(7)
    5040
    >>> factorial(-1)
    Traceback (most recent call last):
      ...
    ValueError: Number should not be negative.
    >>> [factorial(i) for i in range(10)]
    [1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880]
    """"""
    if num < 0:
        raise ValueError('Number should not be negative.')
    return 1 if num in (0, 1) else num * factorial(num - 1)",0.6973481,0.99808407
pythagoras,pythagorean_triple,"pythagoras Passing ""?"" will indicate the unknown side.","pythagorean_triple and value as the number of corresponding triplets.
>>> pythagorean_triple(15)
Counter({12: 1})
>>> pythagorean_triple(40)
Counter({12: 1, 30: 1, 24: 1, 40: 1, 36: 1})
>>> pythagorean_triple(50)
Counter({12: 1, 30: 1, 24: 1, 40: 1, 36: 1, 48: 1})","def pythagoras(opposite, adjacent, hypotenuse):
    """"""
    Returns length of a third side of a right angled triangle.
    Passing ""?"" will indicate the unknown side.
    """"""
    try:
        if opposite == str('?'):
            return 'Opposite = ' + str((hypotenuse ** 2 - adjacent ** 2) ** 0.5)
        if adjacent == str('?'):
            return 'Adjacent = ' + str((hypotenuse ** 2 - opposite ** 2) ** 0.5)
        if hypotenuse == str('?'):
            return 'Hypotenuse = ' + str((opposite ** 2 + adjacent ** 2) ** 0.5)
        return 'You already know the answer!'
    except:
        raise ValueError('invalid argument(s) were given.')","def pythagorean_triple(max_perimeter: int) -> typing.Counter[int]:
    """"""
    Returns a dictionary with keys as the perimeter of a right angled triangle
    and value as the number of corresponding triplets.
    >>> pythagorean_triple(15)
    Counter({12: 1})
    >>> pythagorean_triple(40)
    Counter({12: 1, 30: 1, 24: 1, 40: 1, 36: 1})
    >>> pythagorean_triple(50)
    Counter({12: 1, 30: 1, 24: 1, 40: 1, 36: 1, 48: 1})
    """"""
    triplets: typing.Counter[int] = Counter()
    for base in range(1, max_perimeter + 1):
        for perpendicular in range(base, max_perimeter + 1):
            hypotenuse = (base * base + perpendicular * perpendicular) ** 0.5
            if hypotenuse == int(hypotenuse):
                perimeter = int(base + perpendicular + hypotenuse)
                if perimeter > max_perimeter:
                    continue
                triplets[perimeter] += 1
    return triplets",0.40173835,0.99229795
k_closest,get_bounds,"k_closest Python does not support a max heap; thus we can use the default min heap
where the keys (distance) are negated.","get_bounds >>> import numpy
>>> array = numpy.linspace(-20.0, 20.0, 1000)
>>> get_bounds(array, 1000)
(-20, 20)","def k_closest(points, k, origin=(0, 0)):
    """"""Initialize max heap with first k points.
    Python does not support a max heap; thus we can use the default min heap
    where the keys (distance) are negated.
    """"""
    heap = [(-distance(p, origin), p) for p in points[:k]]
    heapify(heap)
    '\n    For every point p in points[k:],\n    check if p is smaller than the root of the max heap;\n    if it is, add p to heap and remove root. Reheapify.\n    '
    for point in points[k:]:
        dist = distance(point, origin)
        heappushpop(heap, (-dist, point))
        'Same as:\n            if d < -heap[0][0]:\n                heappush(heap, (-d,p))\n                heappop(heap)\n\n        Note: heappushpop is more efficient than separate push and pop calls.\n        Each heappushpop call takes O(logk) time.\n        '
    return [point for (nd, point) in heap]","def get_bounds(fft_results: np.ndarray, samplerate: int) -> tuple[int | float, int | float]:
    """"""
    Get bounds for printing fft results

    >>> import numpy
    >>> array = numpy.linspace(-20.0, 20.0, 1000)
    >>> get_bounds(array, 1000)
    (-20, 20)
    """"""
    lowest = min([-20, np.min(fft_results[1:samplerate // 2 - 1])])
    highest = max([20, np.max(fft_results[1:samplerate // 2 - 1])])
    return (lowest, highest)",0.48249817,0.9382975
